number,report,family,profile,brand,languages,templateKey,httpStatus,pdf,issueCount,mappingIssues,issues,blank
13,CUSTOM_MEGALH_ETIKETA_LOGO,custom,large,FAETHON,el,custom-large,200,samples/CUSTOM_MEGALH_ETIKETA_LOGO.pdf,1,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
14,MIKRH_ETIKETA_IONIC_EN,thermal,small,IONIC,en,thermal-small,200,samples/MIKRH_ETIKETA_IONIC_EN.pdf,10,"Brand IONIC is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Συμπληρώστε το ειδικό πεδίο ετικέτας: προέλευση πελάτη (IONIC) | Συμπληρώστε το ειδικό πεδίο ετικέτας: κωδικός προϊόντος πελάτη (IONIC),False
15,DEIGMA_ETIKETA_GR,sample,small,FAETHON,el,sample-small,200,samples/DEIGMA_ETIKETA_GR.pdf,7,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el.,False
16,MIKRH_ETIKETA_FAETHON_HL,thermal,small,FAETHON,nl,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_HL.pdf,7,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας nl. | Λείπει προέλευση nl. | Λείπουν οδηγίες χρήσης nl. | Λείπει μετάφραση συσκευασίας nl. | Λείπει μετάφραση κατηγορίας nl.,False
17,DEIGMA_KENO_ETIKETA_GR,sample,small,FAETHON,el,sample-blank,200,samples/DEIGMA_KENO_ETIKETA_GR.pdf,1,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
18,MIKRH_ETIKETA_PAPADOPOULOS_PO,thermal,small,PAPADOPOULOS,pt,thermal-small,200,samples/MIKRH_ETIKETA_PAPADOPOULOS_PO.pdf,8,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας pt. | Λείπει προέλευση pt. | Λείπουν οδηγίες χρήσης pt. | Λείπει μετάφραση συσκευασίας pt. | Λείπει μετάφραση κατηγορίας pt.,False
19,MIKRH_ETIKETA_FAETHON_PL,thermal,small,FAETHON,pl,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_PL.pdf,7,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας pl. | Λείπει προέλευση pl. | Λείπουν οδηγίες χρήσης pl. | Λείπει μετάφραση συσκευασίας pl. | Λείπει μετάφραση κατηγορίας pl.,False
20,MIKRH_ETIKETA_FAETHON_PO,thermal,small,FAETHON,pt,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_PO.pdf,7,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας pt. | Λείπει προέλευση pt. | Λείπουν οδηγίες χρήσης pt. | Λείπει μετάφραση συσκευασίας pt. | Λείπει μετάφραση κατηγορίας pt.,False
21,ETIKETA_PALETA_A4_METEORA_GR_EN,pallet,a4,METEORA,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_METEORA_GR_EN.pdf,13,"Brand METEORA is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
22,MIKRH_ETIKETA_FAETHON_RO,thermal,small,FAETHON,ro,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_RO.pdf,7,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας ro. | Λείπει προέλευση ro. | Λείπουν οδηγίες χρήσης ro. | Λείπει μετάφραση συσκευασίας ro. | Λείπει μετάφραση κατηγορίας ro.,False
