number,report,family,profile,brand,languages,templateKey,httpStatus,pdf,issueCount,mappingIssues,issues,blank
64,TABELAKIA_EIDON_KREOPOLEIOY,butcher,small,FAETHON,el,butcher-small,200,samples/TABELAKIA_EIDON_KREOPOLEIOY.pdf,10,Legacy butcher reports require geometry/media verification; live template is 100x80 mm.,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Απαιτείται αντιστοίχιση πεδίου προτύπου: PERIGRAFH | Η γεωμετρία του προτύπου υπερβαίνει τη σελίδα. | Απαιτείται αντιστοίχιση πεδίου προτύπου: CODE_ZOOY,False
65,MIKRH_ETIKETA_ZLATHS_HU,thermal,small,ZLATHS,hu,thermal-small,200,samples/MIKRH_ETIKETA_ZLATHS_HU.pdf,11,"Brand ZLATHS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες hu. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας hu. | Λείπει προέλευση hu. | Λείπουν οδηγίες χρήσης hu. | Λείπει μετάφραση συσκευασίας hu. | Λείπει μετάφραση κατηγορίας hu. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα16. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
66,MIKRH_ETIKETA_FAETHON_CR,thermal,small,FAETHON,hr,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_CR.pdf,10,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες hr. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας hr. | Λείπει προέλευση hr. | Λείπουν οδηγίες χρήσης hr. | Λείπει μετάφραση συσκευασίας hr. | Λείπει μετάφραση κατηγορίας hr. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα16. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
67,ETIKETA_PALETA_A4_IONIC_GR_EN,pallet,a4,IONIC,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_IONIC_GR_EN.pdf,23,"Brand IONIC is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα21. | Λείπει εικόνα: 1_Faethon_Logo_DARKPONY | Υπερχείλιση κειμένου στο πεδίο Ετικέτα32. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH | Υπερχείλιση κειμένου στο πεδίο Ετικέτα36. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.HMER_PARAGOGHS. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.ANALOSH. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.BAROS. | Απαιτείται αντιστοίχιση πεδίου προτύπου: PROIONTA.TEM_ANA_KIBOTIO,False
68,DEIGMA_KENO_ETIKETA_EN,sample,small,FAETHON,en,sample-small,200,samples/DEIGMA_KENO_ETIKETA_EN.pdf,1,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
69,DEIGMA_KENO_ETIKETA_GE,sample,small,FAETHON,de,sample-small,200,samples/DEIGMA_KENO_ETIKETA_GE.pdf,2,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες de.,False
70,DEIGMA_KENO_ETIKETA_BG,sample,small,FAETHON,bg,sample-small,200,samples/DEIGMA_KENO_ETIKETA_BG.pdf,2,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες bg.,False
71,CUSTOM_ETIKETA_MIKRH_LOGO,custom,small,FAETHON,el,custom-small,200,samples/CUSTOM_ETIKETA_MIKRH_LOGO.pdf,1,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
72,CUSTOM_MEGALH_ETIKETA_NOLOGO,custom,large,FAETHON,el,custom-large,200,samples/CUSTOM_MEGALH_ETIKETA_NOLOGO.pdf,1,No-logo variant cannot be selected in Production API; existing shared template used.,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
73,MIKRH_ETIKETA_ZLATHS_CR,thermal,small,ZLATHS,hr,thermal-small,200,samples/MIKRH_ETIKETA_ZLATHS_CR.pdf,11,"Brand ZLATHS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες hr. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας hr. | Λείπει προέλευση hr. | Λείπουν οδηγίες χρήσης hr. | Λείπει μετάφραση συσκευασίας hr. | Λείπει μετάφραση κατηγορίας hr. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα16. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
74,MIKRH_ETIKETA_ZLATHS_AL,thermal,small,ZLATHS,sq,thermal-small,200,samples/MIKRH_ETIKETA_ZLATHS_AL.pdf,11,"Brand ZLATHS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες sq. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας sq. | Λείπει προέλευση sq. | Λείπουν οδηγίες χρήσης sq. | Λείπει μετάφραση συσκευασίας sq. | Λείπει μετάφραση κατηγορίας sq. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
75,MEGALH_ETIKETA_MAVROUDIS_GE_EN,thermal,large,MAVROUDIS,de | en,thermal-large,200,samples/MEGALH_ETIKETA_MAVROUDIS_GE_EN.pdf,41,"Brand MAVROUDIS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η μεγάλη ετικέτα απαιτεί ελληνικά και αγγλικά. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες de. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας de. | Λείπει προέλευση de. | Λείπουν οδηγίες χρήσης de. | Λείπει μετάφραση συσκευασίας de. | Λείπει μετάφραση κατηγορίας de. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Λείπει μετάφραση επικεφαλίδας de: thermal-large:8 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:10 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:18 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:20 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:22 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:24 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:25 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:26 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:29 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:32 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:35 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:38 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:41 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:44 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:47 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:52 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:56 | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH | Λείπει μετάφραση επικεφαλίδας de: thermal-large:61 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:63 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:65 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:66 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:69 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:71 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:73 | Λείπει μετάφραση επικεφαλίδας de: thermal-large:74,False
76,MEGALH_ETIKETA_SUFRO_GR_EN,thermal,large,SUFRO,el | en,thermal-large,200,samples/MEGALH_ETIKETA_SUFRO_GR_EN.pdf,14,"Brand SUFRO is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH,False
